comment,step,time,type,head_pan,head_tilt,head_sidetilt,r_arm,right_arm_shoulder_rotate,right_arm_shoulder_lift,right_arm_elbow_rotate,right_arm_elbow_bend,right_arm_wrist_rotate,right_arm_gripper,l_arm,left_arm_shoulder_rotate,left_arm_shoulder_lift,left_arm_elbow_rotate,left_arm_elbow_bend,left_arm_wrist_rotate,left_arm_gripper,param1,param2
PAIN,157,0.96,move,-0.1058,-0.5,0.043,R:,-1.3453,0.3712,0.3007,2.0985,0.4633,0.0368,L:,1.4011,0.8345,-0.4449,1.8392,-0.7348,1.3361,,
BRIGHT WHITE,158,0,lights,,,,,,,,,,,,0.2,,,,,,24,
you break,159,1.92,move,0.4326,-0.2638,0.1289,R:,-0.9449,0.2823,-1.2747,1.0769,0.7455,-1.2563,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
DIM WHITE,160,0,lights,,,,,,,,,,,,,,,,,,14,
you build,161,0.96,move,-0.023,-0.2378,-0.0107,R:,-0.9541,0.2961,-1.0431,2.5249,0.744,-1.2563,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
believer,162,0.96,move,-0.3927,-0.2132,-0.0874,R:,-0.9971,0.4096,-0.3436,2.4083,0.744,-1.2563,L:,1.2784,0.5262,-0.0092,1.985,0.0522,2.2074,,
,163,0.96,move,-0.4111,-0.1672,-0.0798,,-1.3,,,,,,,,,,,,,,
believer,164,1.92,move,-0.3636,-0.2439,-0.0644,R:,-1.2809,0.9449,0.3467,1.8469,0.7455,-1.2563,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
PAIN,165,0.96,move,0.0675,-0.1979,0.0353,R:,-1.3453,0.3712,0.3007,2.0985,0.4633,0.0368,L:,1.4011,0.8345,-0.4449,1.8392,-0.7348,1.3361,,
oh let,166,0.96,move,-0.1672,-0.1856,0.023,R:,-0.9572,0.3129,-0.9388,1.9405,0.7655,-1.3023,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
,167,0.96,move,-0.204,-0.1825,0.1135,,-1,,,,,,,,,,,,,,
rain,168,0.96,move,0.0997,-0.0997,-0.0337,R:,-0.8636,0.2761,-1.5125,1.2517,0.7655,-1.3008,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
,169,0.96,move,0.0997,-0.0997,-0.0337,R:,-0.8636,0.2761,-1.5125,1.2517,0.7655,-1.3008,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
my life,170,0.96,move,0.2531,-0.273,-0.1258,R:,-1.0707,0.3329,-1.2993,2.5357,0.7655,-1.3008,L:,1.2784,0.5262,-0.0092,1.985,0.0522,2.2074,,
TURN,71,0,marker,,,,,,,,,,,,,,,,,,-1,
my drive,171,0.96,move,0.2961,-0.1749,-0.0614,R:,-1.017,0.3651,-0.8452,2.3163,0.7655,-1.3008,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
PAIN,172,1.92,move,-0.1058,-0.5,0.043,R:,-1.3453,0.3712,0.3007,2.0985,0.4633,0.0368,L:,1.4011,0.8345,-0.4449,1.8392,-0.7348,1.3361,,
BRIGHT RED,173,0,lights,,,,,,,,,,,,,,,,,,21,
BRIGHT WHITE,174,0.5,lights,,,,,,,,,,,,,,,,,,,
you made,175,1.42,move,-0.4126,-0.2071,-0.0752,R:,-1.2011,0.2454,-0.2577,1.5417,0.4847,-1.5079,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
DIM WHITE,176,0,lights,,,,,,,,,,,,,,,,,,14,
TURN STOP,177,0,marker,,,,,,,,,,,,,,,,,,0,
you made,178,0.96,move,0.1795,0.0414,0.1166,R:,-1.1275,0.3543,-1.172,2.4897,0.4847,-1.5079,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
believer,179,0.96,move,0.3958,-0.1135,0.0598,R:,-1.1321,0.3283,-0.2869,2.2626,0.4847,-1.5079,L:,1.2784,0.5262,-0.0092,1.985,0.0522,2.2074,,
believer,180,0.96,move,0.4096,-0.1427,0.0199,R:,-1.1321,0.3283,-0.2869,2.2626,0.4847,-1.5079,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
DIM BLUE,181,0,lights,,,,,,,,,,,,,,,,,,13,
head center,182,0.96,move,0,0,0,,,,,,,,,,,,,,,,
"head down,home",183,0.96,move,0,1.1428,0,R:,0.3329,0.135,0.043,2.1644,0.4525,-1.5079,L:,-0.2924,0.2132,0.0015,2.1046,-0.0153,2.0847,,
lights off,184,0,lights,,,,,,,,,,,,,,,,,,0,
