comment,step,time,type,head_pan,head_tilt,head_sidetilt,r_arm,right_arm_shoulder_rotate,right_arm_shoulder_lift,right_arm_elbow_rotate,right_arm_elbow_bend,right_arm_wrist_bend,right_arm_wrist_rotate,right_arm_gripper_finger,l_arm,left_arm_shoulder_rotate,left_arm_shoulder_lift,left_arm_elbow_rotate,left_arm_elbow_bend,left_arm_wrist_bend,left_arm_wrist_rotate,left_arm_gripper_finger,param1,param2
second,38,0.48,move,-0.3866,-0.3007,0.0169,R:,1.172,0.0353,-0.0368,2,0,0.0031,,L:,-0.3191,0.2096,-0.4786,1.7932,0,-0.1565,,,
tell,39,0.48,move,-0.3436,-0.1733,0.0721,R:,1.164,0.092,-0.8928,2.1629,0,0.0031,0,L:,-0.3206,0.2172,-0.4817,1.8623,0,-0.1565,,,
think,40,0.96,move,-0.0798,-0.362,0.0015,R:,1.3177,0.0721,-0.0598,1.5984,0,0.043,,L:,-0.3206,0.2111,-0.4847,1.8791,0,-0.1503,,,
be,41,0.96,move,-0.2623,-0.431,0.0031,R:,1.1873,0.1979,-1.287,2.4237,0,-0.2961,,L:,-0.3206,0.2096,-0.5645,1.7196,0,-0.0936,,,
one,42,0.96,move,-0.3068,-0.3237,0.0445,R:,1.1842,0.2117,-0.7486,2.0647,0,-0.2961,,L:,-0.3206,0.2188,-0.3866,1.8331,0,-0.092,,,
at the,43,0.96,move,0.1012,-0.1703,0.0046,,,,,,,,,,,,,,,,,,
sail,44,0.96,move,-0.1089,-0.1963,-0.0874,R:,1.1842,0.2132,-0.6903,2.0264,0,-0.2961,,L:,-0.3329,0.2096,-0.3513,1.85,0,-0.092,,,
master,45,0.96,move,-0.0123,-0.2546,0.1764,R:,1.1658,0.2117,-1.2379,2.3669,0,-0.2961,,L:,-0.3329,0.2019,-0.3927,1.85,0,-0.092,,,
sea,46,0.96,move,0.4387,-0.0644,0.0383,R:,0.9066,0.3329,-0.4679,1.3852,0,-0.2961,,L:,-0.3191,0.2801,-0.431,1.6444,0,0.0031,,,
Oh hoo,47,0.96,move,0.3359,-0.316,0.0537,R:,0.9419,0.2086,-0.9265,1.7288,0,0.7056,,L:,-0.3206,0.3077,0.5,1.7288,0,0.0353,1.5,,
the,48,0.96,move,0.1718,-0.2823,0.0522,R:,0.8498,0.2961,-0.8805,1.738,0,-0.3804,,L:,-0.3145,0.3216,-0.4326,1.6552,0,0.0337,,,
